order_id,customer_id,order_status,order_date,required_date,shipped_date,store,staff_name
1,259,4,01/01/2016,03/01/2016,03/01/2016,Santa Cruz Bikes,Mireya
2,1212,4,01/01/2016,04/01/2016,03/01/2016,Baldwin Bikes,Marcelene
3,523,4,02/01/2016,05/01/2016,03/01/2016,Baldwin Bikes,Venita
4,175,4,03/01/2016,04/01/2016,05/01/2016,Santa Cruz Bikes,Genna
5,1324,4,03/01/2016,06/01/2016,06/01/2016,Baldwin Bikes,Marcelene
6,94,4,04/01/2016,07/01/2016,05/01/2016,Baldwin Bikes,Marcelene
7,324,4,04/01/2016,07/01/2016,05/01/2016,Baldwin Bikes,Marcelene
8,1204,4,04/01/2016,05/01/2016,05/01/2016,Baldwin Bikes,Venita
9,60,4,05/01/2016,08/01/2016,08/01/2016,Santa Cruz Bikes,Mireya
10,442,4,05/01/2016,06/01/2016,06/01/2016,Baldwin Bikes,Marcelene
11,1326,4,05/01/2016,08/01/2016,07/01/2016,Baldwin Bikes,Venita
12,91,4,06/01/2016,08/01/2016,09/01/2016,Santa Cruz Bikes,Mireya
13,873,4,08/01/2016,11/01/2016,11/01/2016,Baldwin Bikes,Marcelene
14,258,4,09/01/2016,11/01/2016,12/01/2016,Santa Cruz Bikes,Genna
15,450,4,09/01/2016,10/01/2016,12/01/2016,Baldwin Bikes,Venita
16,552,4,12/01/2016,15/01/2016,15/01/2016,Santa Cruz Bikes,Genna
17,1175,4,12/01/2016,14/01/2016,14/01/2016,Santa Cruz Bikes,Genna
18,541,4,14/01/2016,17/01/2016,15/01/2016,Santa Cruz Bikes,Genna
19,696,4,14/01/2016,17/01/2016,16/01/2016,Santa Cruz Bikes,Mireya
20,923,4,14/01/2016,16/01/2016,17/01/2016,Santa Cruz Bikes,Mireya
21,1250,4,15/01/2016,16/01/2016,18/01/2016,Baldwin Bikes,Marcelene
22,1035,4,16/01/2016,18/01/2016,17/01/2016,Santa Cruz Bikes,Mireya
23,1149,4,16/01/2016,19/01/2016,19/01/2016,Santa Cruz Bikes,Mireya
24,636,4,18/01/2016,20/01/2016,19/01/2016,Baldwin Bikes,Venita
25,657,4,18/01/2016,21/01/2016,21/01/2016,Baldwin Bikes,Marcelene
26,1280,4,18/01/2016,21/01/2016,19/01/2016,Baldwin Bikes,Venita
27,57,4,19/01/2016,21/01/2016,20/01/2016,Baldwin Bikes,Venita
28,252,4,19/01/2016,20/01/2016,21/01/2016,Baldwin Bikes,Marcelene
29,437,4,20/01/2016,22/01/2016,21/01/2016,Baldwin Bikes,Marcelene
30,1348,4,20/01/2016,21/01/2016,21/01/2016,Baldwin Bikes,Marcelene
31,1238,4,20/01/2016,22/01/2016,22/01/2016,Rowlett Bikes,Kali
32,1259,4,21/01/2016,24/01/2016,22/01/2016,Santa Cruz Bikes,Genna
33,236,4,21/01/2016,22/01/2016,22/01/2016,Baldwin Bikes,Marcelene
34,80,4,22/01/2016,25/01/2016,23/01/2016,Baldwin Bikes,Marcelene
35,813,4,22/01/2016,25/01/2016,24/01/2016,Baldwin Bikes,Venita
36,1321,4,23/01/2016,24/01/2016,24/01/2016,Baldwin Bikes,Marcelene
37,164,4,25/01/2016,28/01/2016,26/01/2016,Baldwin Bikes,Marcelene
38,583,4,25/01/2016,27/01/2016,26/01/2016,Baldwin Bikes,Venita
39,1296,4,25/01/2016,26/01/2016,26/01/2016,Baldwin Bikes,Venita
40,348,4,27/01/2016,28/01/2016,29/01/2016,Santa Cruz Bikes,Genna
41,979,4,27/01/2016,30/01/2016,29/01/2016,Baldwin Bikes,Marcelene
42,1095,4,27/01/2016,28/01/2016,30/01/2016,Baldwin Bikes,Venita
43,1434,4,27/01/2016,28/01/2016,30/01/2016,Baldwin Bikes,Venita
44,861,4,28/01/2016,31/01/2016,30/01/2016,Baldwin Bikes,Venita
45,1220,4,28/01/2016,31/01/2016,31/01/2016,Baldwin Bikes,Venita
46,746,4,29/01/2016,31/01/2016,31/01/2016,Baldwin Bikes,Venita
47,1234,4,29/01/2016,30/01/2016,31/01/2016,Baldwin Bikes,Venita
48,1012,4,30/01/2016,01/02/2016,02/02/2016,Baldwin Bikes,Venita
49,608,4,31/01/2016,01/02/2016,02/02/2016,Baldwin Bikes,Marcelene
50,872,4,31/01/2016,03/02/2016,02/02/2016,Rowlett Bikes,Kali
51,1047,4,01/02/2016,02/02/2016,03/02/2016,Baldwin Bikes,Venita
52,767,4,03/02/2016,04/02/2016,05/02/2016,Santa Cruz Bikes,Mireya
53,965,4,03/02/2016,04/02/2016,05/02/2016,Baldwin Bikes,Marcelene
54,535,4,04/02/2016,07/02/2016,07/02/2016,Baldwin Bikes,Venita
55,1173,4,04/02/2016,07/02/2016,06/02/2016,Baldwin Bikes,Marcelene
56,1241,4,04/02/2016,06/02/2016,07/02/2016,Baldwin Bikes,Marcelene
57,1305,4,04/02/2016,06/02/2016,06/02/2016,Baldwin Bikes,Venita
58,504,4,05/02/2016,07/02/2016,07/02/2016,Baldwin Bikes,Marcelene
59,563,4,05/02/2016,07/02/2016,06/02/2016,Baldwin Bikes,Venita
60,151,4,06/02/2016,08/02/2016,07/02/2016,Santa Cruz Bikes,Genna
61,277,4,06/02/2016,09/02/2016,09/02/2016,Baldwin Bikes,Venita
62,208,4,07/02/2016,10/02/2016,10/02/2016,Santa Cruz Bikes,Mireya
63,1075,4,07/02/2016,09/02/2016,09/02/2016,Baldwin Bikes,Venita
64,1185,4,07/02/2016,08/02/2016,09/02/2016,Baldwin Bikes,Marcelene
65,996,4,08/02/2016,09/02/2016,11/02/2016,Baldwin Bikes,Marcelene
66,1253,4,09/02/2016,12/02/2016,12/02/2016,Baldwin Bikes,Venita
67,526,4,09/02/2016,11/02/2016,10/02/2016,Rowlett Bikes,Kali
68,381,4,10/02/2016,11/02/2016,13/02/2016,Baldwin Bikes,Marcelene
69,1413,4,10/02/2016,12/02/2016,11/02/2016,Baldwin Bikes,Venita
70,50,3,11/02/2016,11/02/2016,NULL,Rowlett Bikes,Layla
71,797,4,11/02/2016,14/02/2016,12/02/2016,Baldwin Bikes,Venita
72,1386,4,12/02/2016,15/02/2016,13/02/2016,Santa Cruz Bikes,Mireya
73,612,4,12/02/2016,15/02/2016,14/02/2016,Baldwin Bikes,Venita
74,264,4,13/02/2016,15/02/2016,15/02/2016,Baldwin Bikes,Venita
75,587,4,14/02/2016,15/02/2016,17/02/2016,Baldwin Bikes,Marcelene
76,9,3,16/02/2016,16/02/2016,NULL,Baldwin Bikes,Marcelene
77,385,4,16/02/2016,19/02/2016,19/02/2016,Santa Cruz Bikes,Mireya
78,1182,4,16/02/2016,18/02/2016,19/02/2016,Baldwin Bikes,Venita
79,529,4,17/02/2016,20/02/2016,20/02/2016,Santa Cruz Bikes,Genna
80,397,4,17/02/2016,20/02/2016,19/02/2016,Baldwin Bikes,Marcelene
81,521,4,17/02/2016,19/02/2016,18/02/2016,Baldwin Bikes,Marcelene
82,1223,4,18/02/2016,21/02/2016,20/02/2016,Baldwin Bikes,Marcelene
83,393,4,19/02/2016,20/02/2016,20/02/2016,Santa Cruz Bikes,Genna
84,317,4,20/02/2016,22/02/2016,21/02/2016,Baldwin Bikes,Venita
85,1174,4,20/02/2016,23/02/2016,21/02/2016,Baldwin Bikes,Venita
86,276,4,21/02/2016,22/02/2016,23/02/2016,Baldwin Bikes,Venita
87,516,4,21/02/2016,22/02/2016,23/02/2016,Baldwin Bikes,Marcelene
88,1069,4,21/02/2016,22/02/2016,23/02/2016,Baldwin Bikes,Marcelene
89,668,4,21/02/2016,24/02/2016,24/02/2016,Rowlett Bikes,Kali
90,414,4,23/02/2016,25/02/2016,24/02/2016,Baldwin Bikes,Venita
91,648,4,25/02/2016,27/02/2016,28/02/2016,Santa Cruz Bikes,Mireya
92,1309,4,25/02/2016,28/02/2016,28/02/2016,Baldwin Bikes,Venita
93,1328,4,26/02/2016,28/02/2016,27/02/2016,Santa Cruz Bikes,Genna
94,929,4,27/02/2016,28/02/2016,29/02/2016,Santa Cruz Bikes,Mireya
95,218,4,27/02/2016,29/02/2016,28/02/2016,Baldwin Bikes,Venita
96,1094,4,27/02/2016,29/02/2016,28/02/2016,Baldwin Bikes,Venita
97,204,4,28/02/2016,29/02/2016,01/03/2016,Baldwin Bikes,Venita
98,1194,4,28/02/2016,29/02/2016,29/02/2016,Baldwin Bikes,Marcelene
99,1165,4,29/02/2016,01/03/2016,03/03/2016,Rowlett Bikes,Layla
100,1237,4,01/03/2016,04/03/2016,03/03/2016,Baldwin Bikes,Venita
101,271,4,01/03/2016,04/03/2016,04/03/2016,Rowlett Bikes,Kali
102,336,4,02/03/2016,05/03/2016,03/03/2016,Baldwin Bikes,Venita
103,991,4,03/03/2016,06/03/2016,05/03/2016,Santa Cruz Bikes,Mireya
104,7,4,03/03/2016,05/03/2016,05/03/2016,Baldwin Bikes,Venita
105,306,4,03/03/2016,05/03/2016,04/03/2016,Baldwin Bikes,Venita
106,422,4,04/03/2016,05/03/2016,05/03/2016,Rowlett Bikes,Layla
107,633,4,06/03/2016,09/03/2016,09/03/2016,Santa Cruz Bikes,Mireya
108,12,4,06/03/2016,09/03/2016,07/03/2016,Baldwin Bikes,Marcelene
109,1255,4,06/03/2016,09/03/2016,09/03/2016,Baldwin Bikes,Marcelene
110,677,4,06/03/2016,08/03/2016,09/03/2016,Rowlett Bikes,Layla
111,630,4,07/03/2016,10/03/2016,10/03/2016,Baldwin Bikes,Marcelene
112,469,4,08/03/2016,11/03/2016,10/03/2016,Baldwin Bikes,Marcelene
113,1078,4,08/03/2016,11/03/2016,11/03/2016,Baldwin Bikes,Marcelene
114,1431,4,08/03/2016,10/03/2016,11/03/2016,Baldwin Bikes,Venita
115,1369,4,09/03/2016,11/03/2016,11/03/2016,Baldwin Bikes,Venita
116,471,4,10/03/2016,11/03/2016,11/03/2016,Baldwin Bikes,Venita
117,740,4,10/03/2016,13/03/2016,11/03/2016,Baldwin Bikes,Marcelene
118,577,4,12/03/2016,14/03/2016,13/03/2016,Santa Cruz Bikes,Mireya
119,925,4,12/03/2016,14/03/2016,14/03/2016,Baldwin Bikes,Venita
120,327,4,14/03/2016,15/03/2016,17/03/2016,Baldwin Bikes,Venita
121,755,4,14/03/2016,15/03/2016,16/03/2016,Baldwin Bikes,Marcelene
122,786,4,14/03/2016,16/03/2016,15/03/2016,Baldwin Bikes,Marcelene
123,766,4,15/03/2016,18/03/2016,17/03/2016,Baldwin Bikes,Marcelene
124,403,4,16/03/2016,18/03/2016,17/03/2016,Santa Cruz Bikes,Genna
125,685,4,16/03/2016,19/03/2016,17/03/2016,Baldwin Bikes,Marcelene
126,1365,4,16/03/2016,18/03/2016,18/03/2016,Baldwin Bikes,Venita
127,484,4,17/03/2016,18/03/2016,19/03/2016,Rowlett Bikes,Kali
128,86,4,18/03/2016,20/03/2016,21/03/2016,Baldwin Bikes,Marcelene
129,84,4,19/03/2016,21/03/2016,21/03/2016,Baldwin Bikes,Venita
130,1049,4,19/03/2016,22/03/2016,20/03/2016,Baldwin Bikes,Marcelene
131,316,4,19/03/2016,22/03/2016,20/03/2016,Rowlett Bikes,Kali
132,46,4,20/03/2016,22/03/2016,23/03/2016,Santa Cruz Bikes,Genna
133,409,4,20/03/2016,22/03/2016,21/03/2016,Baldwin Bikes,Venita
134,679,4,20/03/2016,21/03/2016,21/03/2016,Baldwin Bikes,Venita
135,1354,4,21/03/2016,23/03/2016,23/03/2016,Baldwin Bikes,Venita
136,1192,4,21/03/2016,24/03/2016,23/03/2016,Rowlett Bikes,Kali
137,370,4,23/03/2016,26/03/2016,25/03/2016,Baldwin Bikes,Venita
138,438,4,23/03/2016,24/03/2016,25/03/2016,Baldwin Bikes,Venita
139,710,4,23/03/2016,24/03/2016,26/03/2016,Baldwin Bikes,Venita
140,1264,4,23/03/2016,26/03/2016,26/03/2016,Baldwin Bikes,Venita
141,557,4,25/03/2016,27/03/2016,26/03/2016,Baldwin Bikes,Venita
142,170,4,26/03/2016,27/03/2016,27/03/2016,Santa Cruz Bikes,Genna
143,693,4,26/03/2016,28/03/2016,28/03/2016,Baldwin Bikes,Venita
144,1124,4,26/03/2016,29/03/2016,29/03/2016,Baldwin Bikes,Venita
145,366,4,27/03/2016,29/03/2016,30/03/2016,Baldwin Bikes,Marcelene
146,288,4,28/03/2016,30/03/2016,30/03/2016,Santa Cruz Bikes,Genna
147,55,4,28/03/2016,31/03/2016,31/03/2016,Baldwin Bikes,Venita
148,714,4,28/03/2016,30/03/2016,30/03/2016,Baldwin Bikes,Marcelene
149,763,4,28/03/2016,30/03/2016,29/03/2016,Baldwin Bikes,Marcelene
150,332,4,29/03/2016,31/03/2016,01/04/2016,Santa Cruz Bikes,Mireya
151,926,4,29/03/2016,01/04/2016,31/03/2016,Santa Cruz Bikes,Mireya
152,76,4,29/03/2016,30/03/2016,30/03/2016,Baldwin Bikes,Marcelene
153,498,4,30/03/2016,02/04/2016,01/04/2016,Baldwin Bikes,Marcelene
154,1286,4,31/03/2016,01/04/2016,01/04/2016,Santa Cruz Bikes,Mireya
155,371,4,02/04/2016,03/04/2016,04/04/2016,Baldwin Bikes,Marcelene
156,357,4,03/04/2016,06/04/2016,05/04/2016,Santa Cruz Bikes,Genna
157,43,4,03/04/2016,06/04/2016,06/04/2016,Rowlett Bikes,Kali
158,117,3,04/04/2016,04/04/2016,NULL,Rowlett Bikes,Layla
159,32,4,04/04/2016,06/04/2016,06/04/2016,Santa Cruz Bikes,Mireya
160,205,4,04/04/2016,06/04/2016,06/04/2016,Baldwin Bikes,Venita
161,251,4,04/04/2016,07/04/2016,05/04/2016,Baldwin Bikes,Venita
162,31,4,06/04/2016,08/04/2016,07/04/2016,Santa Cruz Bikes,Genna
163,1325,4,06/04/2016,07/04/2016,07/04/2016,Baldwin Bikes,Venita
164,610,4,07/04/2016,08/04/2016,09/04/2016,Baldwin Bikes,Venita
165,574,4,08/04/2016,10/04/2016,10/04/2016,Santa Cruz Bikes,Genna
166,338,4,08/04/2016,11/04/2016,11/04/2016,Baldwin Bikes,Marcelene
167,1034,4,08/04/2016,09/04/2016,11/04/2016,Baldwin Bikes,Venita
168,1147,4,09/04/2016,12/04/2016,11/04/2016,Santa Cruz Bikes,Genna
169,99,4,10/04/2016,11/04/2016,11/04/2016,Baldwin Bikes,Venita
170,1200,4,10/04/2016,11/04/2016,13/04/2016,Baldwin Bikes,Venita
171,237,4,11/04/2016,14/04/2016,14/04/2016,Santa Cruz Bikes,Genna
172,1079,4,11/04/2016,12/04/2016,14/04/2016,Baldwin Bikes,Venita
173,117,4,11/04/2016,14/04/2016,13/04/2016,Rowlett Bikes,Kali
174,1361,4,12/04/2016,13/04/2016,15/04/2016,Baldwin Bikes,Venita
175,951,4,13/04/2016,14/04/2016,14/04/2016,Baldwin Bikes,Marcelene
176,643,4,15/04/2016,16/04/2016,17/04/2016,Baldwin Bikes,Venita
177,121,4,16/04/2016,19/04/2016,19/04/2016,Santa Cruz Bikes,Mireya
178,756,4,16/04/2016,17/04/2016,18/04/2016,Baldwin Bikes,Marcelene
179,616,4,17/04/2016,19/04/2016,19/04/2016,Baldwin Bikes,Marcelene
180,918,4,17/04/2016,20/04/2016,19/04/2016,Baldwin Bikes,Venita
181,459,4,18/04/2016,20/04/2016,20/04/2016,Santa Cruz Bikes,Genna
182,854,4,18/04/2016,19/04/2016,20/04/2016,Baldwin Bikes,Marcelene
183,22,4,19/04/2016,20/04/2016,20/04/2016,Baldwin Bikes,Venita
184,134,4,19/04/2016,21/04/2016,22/04/2016,Baldwin Bikes,Venita
